mode;alpha;beta;evaporation;group_size;elite_weight;median_value;min_value;max_value;std_value;median_iteration;num_runs;norm_quality;norm_speed;score
EAS;0.750;5.000;0.300;50;0.500;1018489.000;1017446;1018949;480.141;43.000;7;0.461;0.812;0.566
EAS;1.000;5.000;0.500;20;0.200;1020084.000;1019446;1021811;1090.950;102.000;7;0.597;0.495;0.566
EAS;0.500;5.000;0.800;20;1.000;1018206.000;1017645;1019629;630.179;33.000;7;0.437;0.866;0.566
AC;0.750;5.000;0.800;100;1.000;1019255.000;1018877;1019401;166.735;73.000;7;0.527;0.651;0.564
EAS;1.000;2.000;0.500;50;0.500;1019656.000;1018287;1020433;699.013;88.000;7;0.561;0.570;0.563
EAS;0.750;5.000;0.500;50;0.200;1018652.000;1017721;1019887;679.209;51.000;7;0.475;0.769;0.563
AC;0.500;5.000;0.800;20;1.000;1018785.000;1017938;1019390;507.788;56.000;7;0.487;0.742;0.563
EAS;0.500;5.000;0.800;50;0.200;1018466.000;1018216;1018807;239.796;45.000;7;0.459;0.801;0.562
EAS;1.000;5.000;0.300;20;1.000;1021116.000;1020484;1022022;562.092;143.000;7;0.685;0.274;0.562
EAS;0.750;5.000;0.300;20;0.500;1018435.000;1017935;1019737;635.630;45.000;7;0.457;0.801;0.560
EAS;0.500;5.000;0.800;100;0.200;1018102.000;1017759;1018577;270.465;33.000;7;0.428;0.866;0.560
EAS;0.500;5.000;0.300;50;0.200;1017716.000;1017424;1018428;366.638;19.000;7;0.396;0.941;0.559
AC;0.750;5.000;0.300;50;1.000;1018353.000;1018168;1018944;307.957;43.000;7;0.450;0.812;0.558
EAS;1.000;2.000;0.800;50;0.200;1018915.000;1017504;1020627;1049.788;64.000;7;0.498;0.699;0.558
AC;0.750;5.000;0.300;20;1.000;1019125.000;1018590;1019761;465.727;72.000;7;0.515;0.656;0.558
EAS;0.500;5.000;0.500;100;0.200;1017875.000;1017301;1018204;372.084;26.000;7;0.409;0.903;0.557
EAS;0.750;5.000;0.300;100;0.200;1018189.000;1018153;1018621;185.828;38.000;7;0.436;0.839;0.557
AC;0.750;5.000;0.500;20;1.000;1019132.000;1018646;1019929;429.652;73.000;7;0.516;0.651;0.556
EAS;1.000;2.000;0.500;50;0.200;1020508.000;1018991;1021085;746.079;124.000;7;0.633;0.376;0.556
EAS;0.500;5.000;0.800;50;0.500;1018284.000;1018094;1018758;229.948;42.000;7;0.444;0.817;0.556
EAS;0.250;5.000;0.800;20;1.000;1018010.000;1017365;1018357;357.325;32.000;7;0.421;0.871;0.556
AC;1.000;5.000;0.300;50;1.000;1022063.000;1021619;1023866;883.483;182.000;7;0.765;0.065;0.555
EAS;0.250;5.000;0.800;100;0.500;1017593.000;1017079;1018426;454.855;17.000;7;0.385;0.952;0.555
EAS;0.750;5.000;0.300;20;0.200;1018261.000;1018038;1019128;401.214;42.000;7;0.442;0.817;0.555
